"iso","base_sample","africa","asia","other","pgp95","hjypl","avexpr","extmort4","lat_abst"
"IRL",0,0,0,0,17489.99678433482,0.5770000134639954,9.727272987365723,NA,0.5888888835906982
"IRN",0,0,1,0,5459.997596514471,0.2949999727569156,4.7727274894714355,NA,0.35555556416511536
"IRQ",0,0,1,0,NA,NA,1.6363636255264282,NA,0.36666667461395264
"ISL",0,0,0,0,20819.999520804224,0.730000028008132,9.727272987365723,NA,0.7222222089767456
"ISR",0,0,1,0,17749.996307103396,0.658999986487534,8.545454978942871,NA,0.347777783870697
"ITA",0,0,0,0,19889.994730852803,0.8339999867192031,9.454545021057129,NA,0.4722222089767456
"JAM",1,0,0,0,3600.000386742107,0.12999998084459244,7.090909004211426,130,0.2016666680574417
"JOR",0,0,1,0,3539.9988303572704,0.4160000037491872,6.7727274894714355,NA,0.3444444537162781
"JPN",0,0,1,0,22789.99016461522,0.5869999994054332,9.727272987365723,NA,0.4000000059604645
"KAZ",0,0,1,0,3400.000173789295,NA,NA,NA,0.5333333611488342
"KEN",1,1,0,0,1159.9999394864944,0.055999998662168246,6.045454502105713,145,0.011111111380159855
"KGZ",0,0,1,0,1950.0004619559506,NA,NA,NA,0.4555555582046509
"KOR",0,0,1,0,12280.00507968828,0.3800000046826647,8.636363983154297,118,0.41111111640930176
"KWT",0,0,1,0,18099.997307218462,NA,7.045454502105713,NA,0.3255555331707001
"LAO",0,0,1,0,1200.0001051131283,NA,NA,140,0.20000000298023224
"LBR",0,1,0,0,NA,NA,3.6363637447357178,483,0.07000000029802322
"LBY",0,1,0,0,NA,NA,5.2727274894714355,NA,0.2777777910232544
"LKA",1,0,1,0,2280.0000245751266,0.15499999837624065,6.045454502105713,69.80000305175781,0.07777778059244156
"LSO",0,1,0,0,1490.000045223388,0.06300000063405464,NA,NA,0.3255555331707001
"LTU",0,0,0,0,3779.9997024621084,NA,NA,NA,0.6222222447395325
"LUX",0,0,0,0,29399.992400025887,0.9860000016342556,10,NA,0.5494444370269775
"LVA",0,0,0,0,3480.0015468757574,NA,NA,NA,0.6333333253860474
"MAR",1,1,0,0,3110.0013075216043,0.18700001344430964,7.090909004211426,78.19999694824219,0.35555556416511536
"MDA",0,0,0,0,1600.0001145111892,NA,NA,NA,0.5222222208976746
"MDG",1,1,0,0,929.999988821303,0.04100000414456858,4.454545497894287,536.03997802734375,0.2222222238779068
"MEX",1,0,0,0,7660.002182125843,0.4330000064154654,7.5,71,0.25555557012557983
"MKD",0,0,0,0,3170.001049284915,NA,NA,NA,0.4611110985279083
"MLI",1,1,0,0,710.0001481380073,0.035000000016343825,4,2940,0.18888889253139496
"MLT",1,0,0,1,12419.995439299588,0.46299999600327557,7.2272725105285645,16.299999237060547,0.39444443583488464
"MMR",0,0,1,0,NA,0.029000001581680545,5.7727274894714355,34.599998474121094,0.24444444477558136
"MNG",0,0,1,0,1480.0002489130309,NA,7.363636493682861,NA,0.5111111402511597
"MOZ",0,1,0,0,640.0000277781526,0.0390000030781894,6.5,NA,0.2016666680574417
"MRT",0,1,0,0,1659.9997251184454,0.049999998305995476,NA,280,0.2222222238779068
"MUS",0,1,0,0,8549.996409316826,0.2619999982605004,NA,30.5,0.22411110997200012
"MWI",0,1,0,0,640.0000277781526,0.029999998676496453,6.818181991577148,NA,0.14777778089046478
"MYS",1,0,1,0,7289.997624501428,0.2669999809493396,7.954545497894287,17.700000762939453,0.025555554777383804
"NAM",0,1,0,0,4989.99944830798,0.19400000229711636,NA,NA,0.24444444477558136
"NER",1,1,0,0,839.9999021591141,0.029000001581680545,5,400,0.17777778208255768
"NGA",1,1,0,0,910.0000135585493,0.04799999671326705,5.545454502105713,2004,0.1111111119389534
"NIC",1,0,0,0,1889.9998476312578,0.1260000015080957,5.2272725105285645,163.3000030517578,0.14444445073604584
"NLD",0,0,0,0,19869.992945831793,0.8059999977181077,10,NA,0.5811110734939575
"NOR",0,0,0,0,22559.993345534996,0.7590000026634179,9.954545021057129,NA,0.6888889074325562
"NPL",0,0,1,0,1029.9999508531591,NA,NA,NA,0.31111112236976624
"NZL",1,0,0,1,17260.007249307426,0.7170000126714742,9.727272987365723,8.550000190734863,0.4555555582046509
"OMN",0,0,1,0,9980.003674459864,0.42399998659984917,7.136363506317139,NA,0.23333333432674408
"PAK",1,0,1,0,1560.0003285968521,0.12800001994558222,6.045454502105713,36.9900016784668,0.3333333432674408
"PAN",1,0,0,0,6880.002421137956,0.22299999510507584,5.909090995788574,163.3000030517578,0.10000000149011612
"PER",1,0,0,0,4429.997965068193,0.23700000426344464,5.7727274894714355,71,0.1111111119389534
"PHL",0,0,1,0,3290.0015106303736,0.1260000015080957,5.454545497894287,NA,0.14444445073604584
"PNG",0,0,1,0,NA,0.07800000630494183,7.2727274894714355,170,0.06666667014360428
"POL",0,0,0,0,5739.998968974236,0.2380000182710459,7.681818008422852,NA,0.5777778029441833
"PRK",0,0,0,0,NA,NA,NA,NA,0.4444444477558136
"PRT",0,0,0,0,13219.995072324497,0.3659999997240111,9.181818008422852,NA,0.43666666746139526
"PRY",1,0,0,0,3669.999399203191,0.1700000068879557,6.954545497894287,78.0999984741211,0.25555557012557983
"QAT",0,0,1,0,16079.996814094595,NA,7.7272725105285645,NA,0.28111109137535095
